demand,grid1-load,grid1-temp,grid1-loss
419.428891,492.22,273.65,21.982
417.8694885,496,274.05,22.281
418.9107251,498.063,274.35,22.445
420.566438,501.53,275.85,22.723
425.6804503,502.868,275.45,22.83
434.6674888,505.801,275.05,23.067
439.4094995,512.484,274.65,23.611
434.2813425,505.861,274.65,23.072
426.041084,492.826,274.65,22.03
418.0824793,480.26,274.65,21.052
406.2351025,468.694,274.65,20.174
390.9782859,443.805,274.75,18.357
374.6529702,421.733,274.75,16.829
343.6034242,400.068,275.05,15.404
323.409669,377.08,275.25,13.975
306.2433218,360.659,275.85,13.006
258.4008002,351.203,275.65,12.467
253.6866271,343.177,275.55,12.022
250.9370593,341.424,275.45,11.926
253.1495485,348.922,275.65,12.34
306.2448134,364.52,275.85,13.23
317.0571675,390.003,276.05,14.768
340.3673,411.194,276.15,16.126
360.8281359,431.681,276.15,17.508
374.542797,449.456,276.15,18.761
378.2729434,465.085,275.95,19.904
377.8939524,467.055,275.85,20.051
377.3686553,466.725,276.05,20.027
379.6443884,468.619,275.55,20.168
389.2185533,480.216,275.05,21.049
397.4663077,483.211,274.45,21.279
400.6861587,487.275,274.05,21.595
398.1561674,478.331,273.65,20.904
390.3523665,468.757,273.15,20.179
379.332504,452.548,272.55,18.984
367.1589083,436.947,271.95,17.874
353.6845673,422.101,271.25,16.854
337.3947826,408.792,270.85,15.969
323.4372199,385.276,270.45,14.475
311.4877919,370.162,273.15,13.562
255.7691791,362.566,272.65,13.116
254.1334781,360.517,272.25,12.998
253.192413,356.506,271.75,12.768
255.6561199,359.396,271.15,12.933
318.99998,370.825,270.55,13.601
328.9558764,388.353,269.85,14.665
347.2474395,416.984,269.65,16.51
364.7670596,442.029,269.45,18.231
379.8872916,464.395,269.15,19.853
389.9886642,474.086,269.35,20.581
394.9898868,478.957,269.55,20.952
399.542584,483.632,270.65,21.312
409.7621164,499.104,270.15,22.528
425.0385596,514.534,269.65,23.78
436.0598063,528.749,269.15,24.966
437.0202778,527.308,269.05,24.844
433.851307,524.281,268.85,24.59
431.2326724,521.031,268.75,24.318
428.1897861,510.738,268.45,23.468
420.3138976,497.912,268.15,22.433
405.4559488,479.127,267.95,20.965
376.6294806,455.895,267.65,19.227
352.2428508,439.262,267.45,18.036
337.2240412,425.326,268.45,17.072
285.8959874,422.744,268.15,16.897
285.8589302,423.47,267.95,16.946
289.9513475,429.774,267.65,17.376
303.1567671,444.046,267.45,18.374
392.0370498,483.628,267.35,21.312
446.446359,548.151,267.15,26.638
466.3314962,569.005,267.25,28.501
466.8701226,565.917,267.45,28.221
466.2382651,556.115,267.55,27.341
465.883402,549.958,267.95,26.796
466.2061161,550.929,268.25,26.882
467.3066229,562.953,269.85,27.953
473.3222069,571.385,269.15,28.718
487.2690895,593.495,268.55,30.779
497.5385098,602.078,267.95,31.6
491.5919269,595.448,267.55,30.965
481.3893801,581.166,267.25,29.62
475.7684328,584.708,266.95,29.951
470.0431273,585.633,267.05,30.037
459.0870519,569.045,267.15,28.505
439.8759139,545.659,267.35,26.42
414.4865613,510.903,267.65,23.482
386.8444218,476.526,267.95,20.766
370.3272038,450.498,268.25,18.836
323.2511877,441.343,268.45,18.183
321.9702352,439.872,268.65,18.079
324.361778,443.54,268.85,18.338
334.8315155,458.219,268.75,19.397
410.2783957,512.943,268.55,23.649
463.8201533,578.643,268.35,29.386
482.9587071,598.234,268.55,31.231
482.6989669,599.65,268.65,31.366
483.1734481,591.956,268.85,30.633
482.8795949,580.175,269.25,29.528
482.4242838,578.57,269.55,29.379
483.8156879,588.517,269.55,30.308
488.4410897,593.769,269.45,30.805
500.4203846,604.362,269.35,31.82
508.5151361,614.459,269.25,32.805
500.9325226,608.065,269.35,32.179
489.2282855,599.274,269.55,31.33
480.7395765,594.347,269.65,30.86
473.1606557,588.579,270.15,30.314
457.9172462,580.859,270.55,29.592
434.6019978,548.699,271.05,26.686
395.9862153,507.033,271.35,23.167
365.1013965,471.93,271.65,20.417
346.1324725,455.181,269.85,19.175
303.3199322,442.634,270.25,18.274
301.1246302,441.287,270.55,18.179
303.3670055,441.571,270.85,18.199
312.9718609,458.751,271.05,19.436
382.0743393,513.276,271.25,23.676
432.953503,573.911,271.45,28.95
454.1107999,589.137,271.55,30.367
454.6008974,589.526,271.65,30.403
456.1337668,584.468,271.75,29.928
456.9618078,578.839,271.45,29.404
457.6899798,576.995,271.15,29.234
460.1895739,577.065,271.25,29.24
466.2331815,580.959,270.65,29.601
479.8766813,593.921,270.05,30.819
487.8687715,601.496,269.45,31.544
479.8456293,596.701,269.45,31.084
467.5644642,588.397,269.35,30.297
457.8235535,582.098,269.25,29.707
450.141308,577.542,269.55,29.284
436.1432774,559.003,269.85,27.599
415.9109728,533.485,270.15,25.368
396.233182,506.525,269.25,23.125
367.6424969,481.411,268.25,21.141
349.6609668,463.237,267.95,19.767
313.4525129,456.38,267.85,19.263
312.0395804,449.821,267.75,18.787
314.513983,456.068,267.55,19.24
325.2158771,473.449,266.95,20.532
389.7255014,527.973,266.45,24.9
444.9849403,594.921,265.85,30.914
466.0981804,615.381,265.45,32.896
468.4417519,614.932,265.15,32.851
469.3251753,612.821,264.75,32.644
469.9266535,612.733,265.15,32.635
472.5081951,610.193,265.55,32.387
475.6880193,613.268,265.75,32.688
482.4929177,616.649,265.15,33.02
495.6204887,630.526,264.65,34.405
503.7862195,634.435,264.05,34.801
498.2171948,626.796,263.95,34.03
489.0552662,617.234,263.85,33.078
481.9045631,607.433,263.75,32.118
475.2721551,596.987,263.35,31.112
463.8678896,586.696,262.95,30.137
446.1160643,563.125,262.45,27.969
420.0439051,529.334,262.65,25.016
394.0112181,500.892,262.75,22.671
378.882825,479.073,263.65,20.961
347.5177541,472.353,263.65,20.449
345.0092949,468.078,263.75,20.128
347.8522185,467.247,263.75,20.066
359.5707419,481.326,263.65,21.134
416.7853471,532.449,263.65,25.28
468.7087187,597.065,263.65,31.119
488.1381506,620.118,263.65,33.364
489.1874114,623.84,263.55,33.734
488.4999992,622.99,263.55,33.649
484.5074038,617.961,263.75,33.15
483.3606328,613.515,263.95,32.712
483.863168,612.435,265.95,32.606
487.100711,614.309,265.95,32.79
494.7099871,625.929,265.95,33.943
496.9690319,632.16,265.95,34.57
490.2203241,623.641,266.65,33.714
480.2165642,606.706,267.25,32.047
470.1725561,591.289,267.95,30.57
456.816885,575.515,268.15,29.097
439.1470299,551.904,268.35,26.968
422.0168693,530.058,268.55,25.077
405.373249,504.611,268.85,22.971
382.9633284,474.578,269.25,20.618
363.9628811,456.469,269.15,19.269
302.4335497,448.341,269.65,18.681
295.8539345,438.366,270.15,17.973
293.6005696,438.024,270.65,17.949
294.0510213,448.247,270.65,18.674
345.5512518,461.529,270.75,19.641
362.9421411,482.82,270.85,21.249
384.8062073,511.548,270.75,23.535
405.0226857,538.252,270.55,25.777
417.1937752,551.58,270.35,26.939
419.4798553,559.607,270.95,27.653
417.6915648,556.555,271.45,27.38
416.6166633,559.432,269.85,27.637
417.0246941,561.443,270.75,27.817
425.7151726,569.906,271.55,28.583
430.8237571,572.906,272.45,28.858
432.648809,571.946,272.25,28.77
428.1019734,558.578,272.05,27.561
418.1273631,535.72,271.85,25.56
404.9994263,516.765,272.15,23.964
390.0246213,498.475,272.45,22.478
373.7105894,483.715,272.75,21.318
359.2518833,457.65,272.75,19.355
342.5454964,433.682,272.85,17.646
328.6064896,419.711,272.75,16.693
284.6952469,408.644,272.65,15.959
280.2090182,401.611,272.55,15.503
280.0342772,398.316,272.35,15.292
283.551748,400.829,272.25,15.453
326.055603,405.52,272.05,15.756
342.0263922,418.663,271.85,16.622
361.1534323,439.888,271.55,18.08
380.7827381,466.292,271.25,19.994
396.1035222,485.448,270.95,21.453
406.6486214,498.036,270.75,22.443
410.8461542,508.454,270.65,23.282
415.4828954,516.688,271.05,23.957
424.4301613,526.944,270.65,24.814
440.3398646,542.349,270.25,26.131
450.3851508,551.827,269.85,26.961
451.9331169,546.562,269.55,26.498
447.7436288,533.609,269.15,25.379
444.360667,525.273,268.85,24.673
440.6735036,519.308,269.15,24.174
431.7408858,507.486,269.55,23.203
414.587148,484.958,269.85,21.415
390.0029469,447.59,270.55,18.627
365.9515938,419.619,271.25,16.686
350.8521473,409.198,272.45,15.995
340.2874712,408.251,272.75,15.934
337.0946243,395.095,273.05,15.088
339.8031057,395.199,273.35,15.095
352.6958211,405.133,274.35,15.731
394.0825779,457.62,275.35,19.353
450.304386,517.841,276.25,24.053
467.7664369,536.306,276.35,25.61
465.1692217,535.914,276.45,25.576
458.859122,529.911,276.55,25.064
452.9040647,525.232,276.35,24.67
448.3112751,528.088,276.15,24.91
446.3794119,529.367,275.55,25.018
448.5360816,535.493,275.55,25.54
461.0023917,546.965,275.55,26.534
469.0652171,550.245,275.65,26.822
462.2083788,534.621,275.75,25.466
449.5749059,521.781,275.95,24.38
441.9641462,515.517,276.05,23.861
435.198432,503.712,275.95,22.898
422.7352543,490.946,275.75,21.882
401.9604724,466.839,275.65,20.035
375.7673702,436.229,275.35,17.824
347.0606638,405.27,275.05,15.74
330.6155818,386.838,274.05,14.571
321.6912472,378.096,274.85,14.037
317.6538808,370.384,275.65,13.575
319.0202159,368.82,276.45,13.482
329.2216558,377.906,276.55,14.025
375.2060053,428.263,276.65,17.273
429.8083081,493.206,276.85,22.06
447.3591355,511.698,276.75,23.547
447.0263075,508.554,276.75,23.29
444.0707832,492.961,276.65,22.041
441.3467664,491.533,277.35,21.928
439.61088,499.886,277.95,22.591
439.8289423,495.884,276.65,22.272
442.0513116,500.566,276.95,22.645
453.2984712,506.591,277.15,23.131
461.1097331,504.936,277.45,22.997
454.0930798,498.545,277.35,22.484
441.5743418,487.701,277.25,21.628
433.8102385,484.024,277.25,21.342
429.0736068,479.324,277.35,20.98
415.9265426,466.018,277.45,19.974
393.5782027,442.682,277.55,18.277
362.8499503,411.741,277.65,16.162
335.7442283,380.135,277.65,14.16
320.307077,363.36,276.85,13.162
311.0681639,354.765,276.95,12.669
308.2646861,351.349,276.95,12.476
310.1408839,352.17,276.95,12.522
320.3449294,363.955,277.15,13.197
370.9046376,412.576,277.35,16.217
420.9193164,469.526,277.55,20.236
438.9977964,478.757,277.45,20.937
439.2741126,483.325,277.25,21.288
437.2844881,482.206,277.05,21.202
435.9098896,478.672,276.65,20.93
435.6537008,480.203,276.25,21.048
436.9981976,481.289,275.25,21.131
441.2893662,490.933,275.25,21.881
453.5283797,505.873,275.25,23.073
460.9101291,508.408,275.35,23.278
454.1782414,494.549,275.05,22.166
441.6752265,482.945,274.75,21.259
432.1299325,470.78,274.55,20.331
425.6260815,469.862,274.35,20.262
412.4994211,456.11,274.15,19.243
392.1470282,444.477,273.95,18.405
357.2202974,420.452,273.85,16.742
331.4764671,393.415,273.75,14.982
315.1559485,378.062,274.85,14.034
305.247322,371.268,275.05,13.627
301.5601256,367.257,275.25,13.39
302.4558949,367.931,275.45,13.43
311.6378497,371.417,275.65,13.636
361.2312625,414.914,275.95,16.372
414.0722594,481.487,276.15,21.146
431.3974734,500.454,276.15,22.636
431.5945666,504.717,276.15,22.979
428.0217194,499.677,276.25,22.574
425.7872177,494.546,276.25,22.166
425.5181377,497.247,276.35,22.38
425.3101352,499.547,275.45,22.564
429.4783095,503.56,275.45,22.886
439.4267386,515.489,275.55,23.858
443.9237017,516.458,275.65,23.938
437.28418,505.013,275.75,23.003
425.8122637,494.226,275.95,22.141
416.8463395,485.249,276.05,21.437
410.1035961,481.041,275.65,21.112
398.153098,467.958,275.15,20.119
379.5794496,451.254,274.65,18.89
350.6996954,429.004,274.75,17.324
326.3053527,403.826,274.95,15.646
310.9852507,383.621,275.15,14.373
301.2750137,371.57,275.05,13.645
298.5973593,365.938,275.05,13.313
300.910036,370.435,274.95,13.578
310.8898195,386.38,275.15,14.543
357.5054685,428.513,275.25,17.29
408.4440181,482.697,275.35,21.24
427.0469472,506.854,275.25,23.152
429.7884278,516.045,275.05,23.904
428.601099,512.75,274.85,23.633
425.9588729,511.665,274.95,23.544
425.0285656,510.089,274.95,23.415
424.2248434,507.119,274.15,23.174
427.0463423,508.009,274.15,23.246
433.5781449,511.81,274.05,23.556
434.0764888,510.352,274.05,23.437
428.0696347,502.315,274.15,22.786
416.7156214,490.852,274.35,21.875
406.6233557,479.341,274.55,20.981
395.1836576,463.685,275.05,19.8
378.797376,447.156,275.65,18.596
362.9734379,428.833,276.25,17.312
338.9937922,404.69,277.15,15.702
317.5539698,377.155,278.05,13.98
299.8510278,357.005,278.75,12.796
